name,intervals,aka
maj,1-3-5,major
1-2-5,sus2,
1-4-5,"sus4, m(sus4)",
1-3-b5,-,
1-3-5-6,"add6, maj6, add13",
1-3-5-7,"j7, M7, Δ",
1-3-b5-7,-,
1-3-#5-7,-,
1-3-5-9,add2,
1-3-5-11,add4,
1-3-5-6-9,maj6/9,
1-3-5-7-b9,-,
1-3-5-7-#9,-,
1-3-5-7-#11,-,
1-3-5-7-13,-,
1-3-5-7-9,maj7/9,
1-b3-5-6-9-#11,-,
1-3-5-7-#9-11,-,
1-3-5-7-9-13,maj7/9/13,
1-3-5-7-9-11,"maj7/9/11, maj9/11",
m,1-b3-5,"min, minor"
1-b3-5-6,min6,
1-b3-5-b7,"-7, mi7, min7",
1-b3-5-7,m(j7),
1-b3-5-9,m(add2),
1-b3-5-11,m(add4),
1-b3-5-6-9,min6/9,
1-b3-5-b7-11,min7/11,
1-b3-b5-b7-11,min7/11(b5),
1-b3-5-b7-b13,min7/b13,
1-b3-5-b7-13,min7/13,
1-b3-5-7-9,m(j9),
1-b3-5-b7-9,min9,
1-b3-5-6-9-11,min6/9/11,
1-b3-5-b7-9-11,"min11, m7/9/11, m9/11",
1-b3-5-b7-9-11-13,min13,
7,1-3-5-b7,dom7
1-4-5-b7,7sus4,
1-3-b5-b7,Ø,
1-3-#5-b7,-,
1-3-5-b7-b9,dom(b9),
1-4-5-b7-b9,-,
1-3-5-b7-#9,dom(#9),
1-3-5-b7-11,-,
1-3-5-b7-#11,-,
1-3-5-b7-b13,-,
1-3-5-b7-13,-,
1-3-5-b7-9,"dom9, 7/9",
1-4-5-b7-9,"9sus4, 11/4, 11sus4",
1-3-b5-b7-9,"7/9(b5), 9(#11)",
1-3-#5-b7-9,7/9(#5),
1-3-5-b7-b9-#11,-,
1-3-5-b7-b9-b13,-,
1-3-5-b7-b9-13,-,
1-3-5-b7-#9-#11,-,
1-3-5-b7-#9-b13,-,
1-3-5-b7-9-#11,-,
1-3-5-b7-9-b13,-,
1-3-5-b7-9-13,"9/6, 7/9/13",
1-4-5-b7-9-13,"13sus4, 9/13sus4",
1-3-5-b7-9-11,dom11,
1-3-5-b7-b9-11,-,
1-3-5-b7-#9-11,-,
1-3-5-b7-#9-#11,-,
1-3-5-b7-9-#11-13,-,
1-3-5-b7-9-11-13,dom13,
1-3-5-b7-b9-11-13,-,
1-3-5-b7-#9-11-13,-,
°,1-b3-b5,"dim, m(b5)"
1-b3-b5-bb7,-,
1-b3-b5-bb7-b13,-,
m7(b5),1-b3-b5-b7,"mØ, dim7, min7(b5)"
+,1-3-#5,"(#5), aug"
1-b3-x,1-b3,-
1-3,-,
1-4,-,
1-b5,-,
1-5,1-x-5,
1-6,-,
1-b7,-,
1-7,-,
